Ticker,Company Name,Market Cap (USD),P/E Ratio,Dividend Yield,Market
AAPL,Apple Inc.,2850000000000,28.5,0.5,NASDAQ
MSFT,Microsoft Corporation,2780000000000,32.1,0.8,NASDAQ
GOOGL,Alphabet Inc.,1850000000000,27.2,0,NASDAQ
AMZN,Amazon.com Inc.,1680000000000,60.5,0,NASDAQ
TSM,Taiwan Semiconductor,550000000000,16.8,1.8,NYSE
JPM,JPMorgan Chase & Co.,495000000000,11.2,2.7,NYSE
V,Visa Inc.,485000000000,30.5,0.7,NYSE
NVDA,NVIDIA Corporation,470000000000,75.2,0.1,NASDAQ
HSBA,HSBC Holdings,150000000000,8.5,4.2,LSE
VOD,Vodafone Group,35000000000,15.2,6.1,LSE
BP,BP p.l.c.,95000000000,5.8,4.0,LSE
SAP,SAP SE,155000000000,22.4,1.9,ETR
SIE,Siemens AG,125000000000,18.6,2.8,ETR
7974,Nintendo Co. Ltd.,55000000000,16.2,2.5,TYO
9432,Nippon Telegraph,95000000000,11.8,3.2,TYO
